ID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage_kms,Engine_cc,Power_bhp,Seats,New_Price_Lakh,Price,Price_Difference_Lakh
1169,Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mumbai,2010,39000,1,1,First,14.84,2143.0,170.0,5.0,20.48,9.5,10.98
1170,Maruti Swift Dzire VXi,Mumbai,2011,58075,0,0,First,17.5,1298.0,85.8,5.0,20.48,2.95,17.53
1171,Volkswagen Vento Petrol Trendline,Mumbai,2011,58000,0,0,First,15.04,1598.0,103.6,5.0,20.48,3.0,17.48
1172,Maruti Swift ZDi,Hyderabad,2015,58000,1,0,First,25.2,1248.0,74.0,5.0,20.48,5.95,14.530000000000001
1173,Toyota Corolla Altis VL,Delhi,2008,89000,0,1,First,14.53,1798.0,138.1,5.0,20.48,4.0,16.48
1174,Honda Civic 2006-2010 1.8 V MT,Delhi,2008,72000,0,0,First,13.5,1799.0,130.0,5.0,20.48,2.5,17.98
1175,Ford EcoSport 1.5 Ti VCT AT Titanium BE,Kolkata,2017,1800,0,1,First,16.05,1499.0,110.4,5.0,20.48,11.37,9.110000000000001
1176,Fiat Linea Emotion Pack (Diesel),Pune,2010,172050,1,0,Second,19.0,1248.0,93.0,5.0,20.48,2.25,18.23
1177,Hyundai i10 Era,Jaipur,2013,46230,0,0,First,19.81,1086.0,68.05,5.0,20.48,3.1,17.38
1178,Volvo XC60 D5 Inscription,Kochi,2014,86925,1,1,First,11.2,2400.0,215.0,5.0,20.48,17.18,3.3000000000000007
1179,Hyundai i20 1.2 Asta,Jaipur,2018,5000,0,0,First,18.6,1197.0,81.83,5.0,20.48,6.5,13.98
1180,Honda City i DTEC S,Ahmedabad,2014,66000,1,0,First,26.0,1498.0,98.6,5.0,20.48,5.7,14.780000000000001
1181,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,Ahmedabad,2013,119000,1,0,First,12.99,2494.0,100.0,8.0,20.48,8.0,12.48
1182,Renault KWID RXT,Chennai,2016,45000,0,0,First,25.17,799.0,53.3,5.0,20.48,2.6,17.88
1183,Maruti A-Star Vxi,Hyderabad,2009,66149,0,0,First,19.0,998.0,66.1,5.0,20.48,2.45,18.03
1184,Mercedes-Benz B Class B180,Kochi,2014,42070,0,1,First,14.8,1595.0,120.7,5.0,20.48,11.57,8.91
1185,Maruti Wagon R LXI BS IV,Kolkata,2012,35503,0,0,First,18.9,998.0,67.1,5.0,20.48,2.3,18.18
1186,Maruti Swift VDI BSIV,Jaipur,2016,41460,1,0,First,25.2,1248.0,74.0,5.0,20.48,5.9,14.58
1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,0,1,First,17.0,1591.0,121.3,5.0,15.14,7.2,7.94
1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,1,1,First,22.0,1582.0,126.2,5.0,15.72,5.9,9.82
1189,Honda City V MT,Chennai,2014,30000,0,0,Second,16.8,1497.0,116.3,5.0,20.48,6.0,14.48
1190,Hyundai i10 Magna Optional 1.1L,Kolkata,2010,27089,0,0,First,16.0,1086.0,66.7,5.0,20.48,1.95,18.53
1191,Toyota Etios GD SP,Coimbatore,2016,53702,1,0,First,23.59,1364.0,67.04,5.0,20.48,6.55,13.93
1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,1,1,First,27.03,1969.0,190.0,5.0,45.67,25.0,20.67
1193,Ford Figo Diesel EXI,Kolkata,2012,36542,1,0,First,20.0,1399.0,68.05,5.0,20.48,2.65,17.830000000000002
1194,Mercedes-Benz E-Class 2015-2017 E350 CDI Avantgrade,Mumbai,2017,15000,1,1,First,13.0,2987.0,265.0,5.0,20.48,69.5,-49.019999999999996
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,1,1,First,22.69,1995.0,190.0,5.0,54.7,14.0,40.7
1196,Maruti Alto 800 VXI,Pune,2014,32000,0,0,Second,22.74,796.0,47.3,5.0,20.48,2.1,18.38
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,1,0,First,13.68,2393.0,147.8,7.0,22.87,20.4,2.4700000000000024
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,0,0,First,18.78,999.0,75.0,5.0,6.74,5.68,1.0600000000000005
1199,Nissan Terrano XL,Mumbai,2014,28238,0,0,First,13.24,1598.0,102.5,5.0,20.48,5.55,14.93
1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,1,0,First,13.5,2477.0,175.56,7.0,33.09,12.75,20.340000000000003
1201,Honda Civic 2010-2013 1.8 S MT,Mumbai,2012,92000,0,0,Second,14.8,1799.0,130.2,5.0,20.48,3.35,17.13
1202,Maruti Alto 800 LXI,Kolkata,2013,56840,0,0,First,22.74,796.0,47.3,5.0,20.48,1.55,18.93
1203,Volkswagen Vento Diesel Highline,Coimbatore,2013,62746,1,0,Second,20.54,1598.0,103.6,5.0,20.48,5.9,14.58
1204,Land Rover Freelander 2 HSE,Hyderabad,2012,96000,1,1,First,12.35,2179.0,187.74,5.0,20.48,18.98,1.5
1205,Honda CR-V 2.0L 2WD MT,Mumbai,2014,24000,0,0,First,13.7,1997.0,153.86,5.0,20.48,11.51,8.97
1206,Maruti Ertiga VDI,Mumbai,2016,54000,1,0,First,20.77,1248.0,88.76,7.0,20.48,7.75,12.73
1207,Toyota Innova 2.5 GX (Diesel) 7 Seater,Chennai,2016,90000,1,0,First,12.99,2494.0,100.6,7.0,20.48,13.9,6.58
1208,Tata Manza Aura Safire,Kolkata,2010,40000,0,0,First,15.0,1368.0,90.0,5.0,20.48,1.35,19.13
1209,Audi Q7 35 TDI Quattro Premium Plus,Mumbai,2015,65938,1,1,Second,12.07,2967.0,241.4,7.0,20.48,38.0,-17.52
1210,Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2017,16100,0,1,First,17.1,1591.0,121.4,5.0,20.48,11.6,8.88
1211,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Hyderabad,2017,3600,1,1,First,21.5,1498.0,108.5,5.0,20.48,12.25,8.23
1212,Honda City 1.5 S MT,Jaipur,2011,52000,0,0,First,17.0,1497.0,118.0,5.0,20.48,3.8,16.68
1213,Ford Figo Diesel Titanium,Mumbai,2014,54000,1,0,First,20.0,1399.0,68.05,5.0,20.48,3.25,17.23
1214,Honda Jazz 1.2 VX i VTEC,Mumbai,2016,15399,0,0,First,18.7,1199.0,88.7,5.0,20.48,6.4,14.08
1215,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2012,75000,0,0,Second,16.47,1198.0,73.9,5.0,20.48,3.95,16.53
1216,Honda City i-VTEC S,Delhi,2010,76752,0,0,First,17.4,1497.0,117.3,5.0,20.48,3.57,16.91
1217,Honda City ZX GXi,Mumbai,2005,56000,0,0,Second,17.7,1497.0,78.0,5.0,20.48,1.25,19.23
1219,Honda CR-V 2.4L 4WD AT AVN,Kolkata,2013,46125,0,1,Second,12.0,2354.0,187.4,5.0,20.48,12.5,7.98
1220,BMW 5 Series 2013-2017 520d Luxury Line,Ahmedabad,2014,35000,1,1,Second,18.12,1995.0,190.0,5.0,20.48,23.0,-2.5199999999999996
1221,Ambassador Classic Nova Diesel,Chennai,2003,80000,1,0,Third,12.8,1489.0,35.5,5.0,20.48,1.35,19.13
1222,Mahindra Scorpio VLX 2.2 mHawk BSIII,Coimbatore,2012,62729,1,0,First,12.05,2179.0,120.0,8.0,20.48,6.32,14.16
1223,Volkswagen Vento Diesel Comfortline,Kolkata,2012,34000,1,0,First,20.54,1598.0,103.6,5.0,20.48,3.4,17.080000000000002
1224,Maruti Zen VX,Jaipur,1999,70000,0,0,Second,17.3,993.0,60.0,5.0,20.48,0.77,19.71
1225,Maruti 800 DX BSII,Jaipur,2009,32000,0,0,First,16.1,796.0,37.0,4.0,20.48,0.9,19.580000000000002
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,0,1,First,14.28,1798.0,138.03,5.0,23.25,18.0,5.25
1227,BMW 3 Series 328i Sport Line,Pune,2013,49000,0,1,First,14.59,1997.0,245.0,5.0,20.48,19.0,1.4800000000000004
1228,Ford Ikon 1.3 Flair,Chennai,2007,40000,0,0,Third,13.8,1299.0,70.0,5.0,20.48,1.1,19.38
1229,Chevrolet Beat LT,Pune,2012,78000,0,0,Second,18.6,1199.0,79.4,5.0,20.48,2.0,18.48
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,1,0,First,21.43,1364.0,86.79,5.0,19.27,6.5,12.77
1231,Mahindra XUV500 W4,Bangalore,2014,65213,1,0,First,16.0,2179.0,140.0,7.0,20.48,9.45,11.030000000000001
1232,Hyundai Xcent 1.1 CRDi Base,Mumbai,2016,170000,1,0,First,24.4,1120.0,71.0,5.0,20.48,4.0,16.48
1233,Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,Kochi,2017,36884,1,1,First,13.0,2143.0,204.0,5.0,20.48,32.25,-11.77
1234,Hyundai i10 Sportz,Pune,2009,62500,0,0,First,20.36,1197.0,78.9,5.0,20.48,2.1,18.38
1235,Toyota Corolla Altis VL AT,Mumbai,2015,68000,0,1,Second,14.28,1798.0,138.03,5.0,20.48,9.75,10.73
1236,Toyota Corolla 1.8 J,Kolkata,2014,40748,0,0,First,14.53,1798.0,138.0,5.0,20.48,6.3,14.18
1237,Audi Q3 2.0 TDI Quattro,Hyderabad,2013,60000,1,1,First,17.32,1968.0,184.0,5.0,20.48,21.0,-0.5199999999999996
1238,Hyundai i20 Magna Optional 1.4 CRDi,Mumbai,2014,12400,1,0,First,21.9,1396.0,88.8,5.0,20.48,4.65,15.83
1239,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Mumbai,2013,87000,1,1,Second,19.27,2143.0,167.62,5.0,20.48,17.0,3.4800000000000004
1240,Maruti Ritz VDi,Pune,2013,20248,1,0,First,21.1,1248.0,73.9,5.0,20.48,4.35,16.130000000000003
1241,Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,52383,1,0,First,19.67,1582.0,126.2,5.0,20.48,14.82,5.66
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,1,1,First,13.6,1999.0,177.0,5.0,52.77,40.0,12.770000000000003
1243,Mahindra Xylo D4,Chennai,2016,85000,1,0,First,14.95,2489.0,93.7,7.0,11.67,6.15,5.52
1244,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2014,47000,1,0,First,12.99,2494.0,100.6,7.0,20.48,11.25,9.23
1245,Toyota Camry 2.5 Hybrid,Pune,2018,17585,0,1,First,19.16,2494.0,157.7,5.0,20.48,32.0,-11.52
1246,Audi Q5 3.0 TDI Quattro,Coimbatore,2018,32496,1,1,First,13.22,2967.0,241.4,5.0,20.48,45.62,-25.139999999999997
1247,Maruti Swift VDI,Kochi,2017,34613,1,0,First,28.4,1248.0,74.0,5.0,7.92,6.24,1.6799999999999997
1248,Maruti Ertiga VDI Limited Edition,Chennai,2015,153000,1,0,First,20.77,1248.0,88.76,7.0,20.48,4.8,15.68
1249,Maruti Swift VXi BSIV,Chennai,2014,54000,0,0,Second,16.1,1197.0,85.0,5.0,20.48,4.5,15.98
1250,Hyundai i10 Sportz,Kochi,2015,16900,0,0,First,20.36,1197.0,78.9,5.0,20.48,3.87,16.61
1251,Hyundai i10 Sportz,Delhi,2013,62334,0,0,First,20.36,1197.0,78.9,5.0,20.48,2.75,17.73
1252,Maruti Baleno Sigma 1.2,Kochi,2018,23714,0,0,First,21.4,1197.0,83.1,5.0,20.48,6.57,13.91
1253,Hyundai Accent Executive,Jaipur,2010,52325,0,0,First,16.36,1495.0,93.7,5.0,20.48,2.0,18.48
1254,Honda Brio S MT,Ahmedabad,2012,50000,0,0,First,19.4,1198.0,86.8,5.0,20.48,3.65,16.830000000000002
1255,Maruti Swift ZDi,Hyderabad,2016,55746,1,0,First,22.9,1248.0,74.0,5.0,20.48,6.95,13.530000000000001
1256,Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,0,0,First,20.14,1197.0,81.86,5.0,7.85,5.5,2.3499999999999996
1257,Mahindra XUV500 W8 2WD,Kolkata,2013,43000,1,0,First,16.0,2179.0,140.0,7.0,20.48,7.0,13.48
1258,Mercedes-Benz E-Class E250 CDI Avantgrade,Delhi,2014,40000,1,1,First,13.0,2143.0,201.1,5.0,20.48,24.0,-3.5199999999999996
1259,Land Rover Freelander 2 TD4 S,Bangalore,2010,125000,1,1,Second,0.0,2179.0,115.0,5.0,20.48,11.0,9.48
1260,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Bangalore,2016,51944,1,1,First,19.27,2143.0,170.0,5.0,20.48,32.5,-12.02
1261,Hyundai i20 Asta 1.4 CRDi,Kochi,2015,46950,1,0,First,21.27,1396.0,88.76,5.0,20.48,6.45,14.030000000000001
1262,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2015,23000,1,1,First,19.3,1968.0,141.0,5.0,20.48,15.75,4.73
1263,Honda City 1.5 S MT,Mumbai,2014,54546,0,0,First,17.0,1497.0,118.0,5.0,20.48,5.5,14.98
1264,Toyota Fortuner 4x2 AT,Kochi,2015,51535,1,1,First,12.55,2982.0,168.5,7.0,20.48,19.03,1.4499999999999993
1265,Audi Q3 2.0 TDI Quattro,Kolkata,2013,45000,1,1,First,17.32,1968.0,184.0,5.0,20.48,15.25,5.23
1266,Maruti Alto K10 2010-2014 VXI,Hyderabad,2012,46004,0,0,First,20.92,998.0,67.1,5.0,20.48,2.4,18.080000000000002
1267,Tata Indigo eCS LX BSIV,Chennai,2011,124000,1,0,First,23.03,1396.0,69.0,5.0,20.48,2.3,18.18
1268,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2014,77395,1,1,First,17.11,1968.0,174.33,5.0,20.48,14.35,6.130000000000001
1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,0,1,First,18.0,1497.0,117.3,5.0,15.55,11.97,3.58
1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,1,0,First,14.24,2755.0,174.5,7.0,32.45,18.9,13.550000000000004
1273,Hyundai Grand i10 Sportz,Ahmedabad,2017,17125,0,0,First,18.9,1197.0,82.0,5.0,20.48,5.4,15.08
1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,0,0,First,15.1,1196.0,73.0,7.0,4.83,2.95,1.88
1275,Volkswagen Polo Petrol Highline 1.2L,Bangalore,2013,37000,0,0,First,16.47,1198.0,73.9,5.0,20.48,5.1,15.38
1276,Maruti Wagon R LXI Minor,Jaipur,2006,65000,0,0,First,18.9,1061.0,67.0,5.0,20.48,1.5,18.98
1277,Honda City 1.5 V MT,Bangalore,2011,66000,0,0,First,17.0,1497.0,118.0,5.0,20.48,4.9,15.58
1278,Honda Civic 2010-2013 1.8 S MT,Mumbai,2010,86000,0,0,First,14.8,1799.0,130.2,5.0,20.48,2.9,17.580000000000002
1279,Honda City 1.5 EXI,Pune,2005,98437,0,0,First,13.0,1493.0,100.0,5.0,20.48,1.15,19.330000000000002
1280,Hyundai i20 1.2 Magna,Kolkata,2010,18000,0,0,First,18.5,1197.0,80.0,5.0,20.48,2.3,18.18
1281,Hyundai Grand i10 CRDi Sportz Celebration Edition,Kochi,2018,35070,1,0,First,24.0,1120.0,70.0,5.0,20.48,5.99,14.49
1282,Volkswagen Vento Petrol Highline AT,Pune,2011,42000,0,1,Third,14.4,1598.0,103.6,5.0,20.48,3.4,17.080000000000002
1283,Hyundai i10 Sportz 1.2,Kolkata,2009,40000,0,0,First,20.36,1197.0,78.9,5.0,20.48,1.7,18.78
1284,Hyundai i20 Asta,Kolkata,2009,43000,0,0,First,17.0,1197.0,80.0,5.0,20.48,1.99,18.490000000000002
1285,Chevrolet Beat LS,Pune,2012,65000,0,0,First,18.6,1199.0,79.4,5.0,20.48,2.5,17.98
1286,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,2013,74000,1,0,First,22.07,1199.0,73.9,5.0,20.48,4.85,15.63
1287,Ford Figo Petrol LXI,Hyderabad,2010,51192,0,0,First,15.6,1196.0,70.0,5.0,20.48,2.65,17.830000000000002
1288,Audi TT 2.0 TFSI,Kochi,2014,14262,0,1,First,9.9,1984.0,207.8,2.0,20.48,27.35,-6.870000000000001
1289,Honda City i DTEC VX,Jaipur,2015,66339,1,0,Second,25.1,1498.0,98.6,5.0,20.48,6.9,13.58
1290,Ford Figo Diesel Titanium,Hyderabad,2013,90200,1,0,First,20.0,1399.0,68.05,5.0,20.48,3.5,16.98
1291,Toyota Innova 2.5 ZX Diesel 7 Seater,Delhi,2015,57854,1,0,First,12.99,2494.0,100.6,7.0,20.48,12.5,7.98
1292,Maruti Ciaz 1.4 AT Alpha,Delhi,2017,32000,0,1,First,19.12,1373.0,91.1,5.0,20.48,9.2,11.280000000000001
1293,Hyundai Grand i10 AT Asta,Mumbai,2015,29631,0,1,First,18.9,1197.0,82.0,5.0,20.48,4.9,15.58
1295,Ford EcoSport 1.0 Ecoboost Titanium Plus BE,Kochi,2014,54173,0,0,First,18.88,999.0,123.24,5.0,20.48,5.55,14.93
1296,Skoda Octavia Ambition 1.8 TSI AT,Ahmedabad,2014,50000,0,1,First,14.7,1798.0,177.6,5.0,20.48,13.5,6.98
1297,Fiat Linea Emotion (Diesel),Kolkata,2010,145000,1,0,First,20.4,1248.0,91.7,5.0,20.48,2.6,17.88
1298,Maruti Swift Lxi BSIII,Jaipur,2015,78000,0,0,First,16.1,1298.0,88.2,5.0,20.48,4.5,15.98
1299,Land Rover Discovery 4 TDV6 SE,Delhi,2013,65000,1,1,Second,11.8,2993.0,180.0,7.0,20.48,34.0,-13.52
1300,Toyota Innova 2.5 V Diesel 7-seater,Hyderabad,2012,120000,1,0,First,12.8,2494.0,102.0,7.0,20.48,12.0,8.48
1301,Maruti Swift LDI,Mumbai,2015,14000,1,0,First,28.4,1248.0,74.0,5.0,7.13,5.25,1.88
1302,Audi A6 2011-2015 2.0 TDI Premium Plus,Kochi,2014,57456,1,1,First,17.68,1968.0,174.33,5.0,20.48,21.56,-1.0799999999999983
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,1,1,First,22.48,1995.0,190.0,5.0,71.82,24.68,47.13999999999999
1304,Hyundai i20 Magna Optional 1.2,Delhi,2013,63777,0,0,First,18.5,1197.0,82.9,5.0,20.48,3.67,16.810000000000002
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,1,1,First,17.05,1995.0,190.0,5.0,50.97,29.5,21.47
1306,Toyota Etios G,Delhi,2012,60000,0,0,First,17.6,1496.0,88.73,5.0,20.48,3.1,17.38
1307,Tata Indigo LX,Ahmedabad,2015,78008,1,0,First,17.0,1405.0,70.0,5.0,20.48,2.9,17.580000000000002
1308,Mercedes-Benz M-Class ML 350 4Matic,Bangalore,2014,33000,1,1,Second,0.0,2987.0,165.0,5.0,20.48,43.0,-22.52
1309,Volkswagen Beetle 2.0,Mumbai,2009,27078,0,1,First,10.98,1984.0,114.4,4.0,20.48,15.95,4.530000000000001
1310,Volkswagen Polo GT TDI,Hyderabad,2011,57275,1,0,First,19.7,1598.0,103.6,5.0,20.48,4.5,15.98
1311,Hyundai Grand i10 CRDi Magna,Delhi,2014,45000,1,0,First,24.0,1120.0,70.0,5.0,20.48,3.49,16.990000000000002
1312,Maruti Swift VDI BSIV,Delhi,2014,57319,1,0,First,25.2,1248.0,74.0,5.0,20.48,4.25,16.23
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,1,0,Second,24.0,1396.0,88.76,5.0,10.73,1.9,8.83
1314,BMW 5 Series 2003-2012 525d,Mumbai,2011,89000,1,1,First,16.73,1995.0,218.0,5.0,20.48,16.57,3.91
1315,Honda City 1.5 S MT,Bangalore,2012,72000,0,0,First,17.0,1497.0,118.0,5.0,20.48,5.75,14.73
1316,Audi A4 2.0 TDI,Delhi,2013,36000,1,1,Second,16.55,1968.0,147.51,5.0,20.48,14.0,6.48
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,1,0,Second,19.5,1248.0,75.0,5.0,9.5,2.5,7.0
1318,Honda City 1.3 EXI,Ahmedabad,2002,85000,0,0,First,13.0,1343.0,90.0,5.0,20.48,1.2,19.28
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,1,1,First,22.69,1995.0,190.0,5.0,52.46,13.95,38.510000000000005
1321,Ford Fiesta 1.4 Duratec EXI,Chennai,2007,100000,0,0,First,16.6,1388.0,68.0,5.0,20.48,1.6,18.88
1322,Tata Nano XTA,Coimbatore,2016,5240,0,1,First,21.9,624.0,37.48,4.0,20.48,3.6,16.88
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,0,0,First,20.89,1197.0,81.8,5.0,6.07,6.06,0.010000000000000675
1325,Maruti Swift Dzire ZXi,Coimbatore,2013,59254,0,0,Second,17.5,1298.0,85.8,5.0,20.48,5.29,15.190000000000001
1326,Ford Ecosport 1.5 DV5 MT Titanium,Jaipur,2014,60000,1,0,First,22.7,1498.0,89.84,5.0,20.48,5.75,14.73
1328,Maruti Swift Dzire VXI,Coimbatore,2014,47674,0,0,First,19.1,1197.0,85.8,5.0,20.48,5.72,14.760000000000002
1329,Hyundai i10 Sportz AT,Kochi,2014,61517,0,1,First,16.95,1197.0,78.9,5.0,20.48,4.39,16.09
1330,Mahindra XUV500 W6 2WD,Coimbatore,2016,62946,1,0,First,15.1,2179.0,140.0,7.0,20.48,11.05,9.43
1331,Hyundai i20 Magna 1.4 CRDi,Delhi,2015,66823,1,0,Second,22.54,1396.0,88.73,5.0,20.48,4.83,15.65
1333,Hyundai i20 Asta 1.4 CRDi,Chennai,2012,107000,1,0,Second,21.27,1396.0,88.76,5.0,20.48,4.5,15.98
1334,BMW 7 Series 730Ld,Mumbai,2011,55000,1,1,Second,16.46,2993.0,258.0,5.0,20.48,19.5,0.9800000000000004
1335,Skoda Rapid 1.6 MPI AT Style Plus,Mumbai,2017,24000,0,1,First,14.3,1598.0,103.52,5.0,20.48,8.75,11.73
1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,1,1,First,14.75,2967.0,245.0,7.0,1.04,67.0,-65.96
1337,Honda City i VTEC VX,Kochi,2016,54317,0,0,First,17.4,1497.0,117.3,5.0,20.48,8.4,12.08
1338,Hyundai Xcent 1.2 Kappa SX,Mumbai,2016,10200,0,0,First,19.1,1197.0,82.0,5.0,20.48,4.99,15.49
1339,Honda City i DTec E,Coimbatore,2016,24337,1,0,First,26.0,1498.0,98.6,5.0,20.48,8.18,12.3
1340,Honda Brio S Option MT,Pune,2012,79000,0,0,First,18.4,1198.0,86.8,5.0,20.48,2.9,17.580000000000002
1341,Maruti Ciaz ZDi Plus SHVS,Jaipur,2015,40500,1,0,First,28.09,1248.0,88.5,5.0,20.48,7.1,13.38
1342,Maruti Swift Dzire VDI Optional,Pune,2016,23000,1,0,First,26.59,1248.0,74.0,5.0,20.48,7.05,13.43
1343,Honda CR-V 2.4L 4WD AT,Pune,2015,63050,0,1,First,11.1,2354.0,158.8,5.0,20.48,17.5,2.9800000000000004
1344,Toyota Corolla Altis 2008-2013 1.8 VL AT,Mumbai,2008,78000,0,1,Second,14.53,1794.0,138.1,5.0,20.48,3.41,17.07
1346,Honda City 1.5 V MT,Coimbatore,2012,66245,0,0,First,17.0,1497.0,118.0,5.0,20.48,5.68,14.8
1347,Mahindra Scorpio LX BS IV,Bangalore,2007,74112,1,0,First,12.05,2179.0,120.0,9.0,20.48,4.1,16.380000000000003
1348,Skoda Laura 1.8 TSI Ambiente,Delhi,2011,87670,0,0,First,13.4,1798.0,157.8,5.0,20.48,4.0,16.48
1349,BMW 3 Series 320d Sport Line,Hyderabad,2015,10000,1,1,First,18.88,1995.0,184.0,5.0,20.48,30.0,-9.52
1350,Maruti SX4 Zxi BSIII,Chennai,2007,62493,0,0,First,15.0,1586.0,104.68,5.0,20.48,1.8,18.68
1351,Maruti Ciaz VXi Plus,Kochi,2015,44620,0,0,First,20.73,1373.0,91.1,5.0,20.48,6.93,13.55
1352,Land Rover Range Rover 3.6 TDV8 Vogue SE Diesel,Bangalore,2012,66538,1,1,First,10.2,4367.0,308.0,7.0,20.48,70.0,-49.519999999999996
1353,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Ahmedabad,2013,60000,1,0,First,12.99,2494.0,100.0,7.0,20.48,7.9,12.58
1354,Hyundai Santro Xing GL,Kochi,2011,20842,0,0,First,0.0,1086.0,62.0,5.0,20.48,2.78,17.7
1355,Hyundai Santa Fe 4WD AT,Chennai,2014,110000,1,1,First,13.01,2199.0,194.3,7.0,20.48,14.4,6.08
1356,Mercedes-Benz New C-Class C250 Avantgarde,Mumbai,2011,45000,0,1,Second,11.74,1796.0,186.0,5.0,20.48,13.5,6.98
1358,Maruti Alto LXi,Coimbatore,2012,49008,0,0,First,19.7,796.0,46.3,5.0,20.48,2.88,17.6
1359,Maruti Alto 800 2016-2019 LXI,Kolkata,2016,31000,0,0,First,24.7,796.0,47.3,5.0,20.48,2.15,18.330000000000002
1360,Nissan Sunny 2011-2014 XV,Pune,2013,8000,0,0,First,16.95,1498.0,97.7,5.0,20.48,3.75,16.73
1361,Maruti Alto 800 2016-2019 VXI,Mumbai,2019,171,0,0,First,24.7,796.0,47.3,5.0,20.48,3.6,16.88
1362,Maruti Alto K10 VXI,Kolkata,2018,2100,0,0,First,24.07,998.0,67.1,5.0,4.33,3.6,0.73
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,0,1,First,18.9,1197.0,81.86,5.0,8.63,7.55,1.080000000000001
1364,Honda Mobilio S i DTEC,Kolkata,2015,50000,1,0,First,24.2,1498.0,98.6,7.0,20.48,4.7,15.780000000000001
1365,Tata Manza Aqua Quadrajet,Jaipur,2010,100030,1,0,Second,18.8,1248.0,90.0,5.0,20.48,1.6,18.88
1366,Chevrolet Optra Magnum 2.0 LT,Pune,2011,75372,1,0,First,16.52,1991.0,123.7,5.0,20.48,3.34,17.14
1367,Honda City i VTEC CVT VX,Kochi,2016,60475,0,1,First,18.0,1497.0,117.3,5.0,20.48,9.1,11.38
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,0,0,First,18.9,1197.0,81.86,5.0,6.68,6.17,0.5099999999999998
1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,1,0,First,22.0,1582.0,126.2,5.0,14.07,2.5,11.57
1370,Nissan Micra XL,Kolkata,2016,31001,0,0,First,18.44,1198.0,75.0,5.0,20.48,3.0,17.48
1371,Hyundai Verna 1.6 SX,Jaipur,2012,65900,1,0,First,22.32,1582.0,126.32,5.0,20.48,5.75,14.73
1372,Hyundai Creta 1.6 VTVT E Plus,Bangalore,2017,26246,0,0,First,15.29,1591.0,121.3,5.0,20.48,10.75,9.73
1373,Maruti Wagon R VXI BS IV,Jaipur,2013,62700,0,0,Second,20.51,998.0,67.04,5.0,20.48,2.85,17.63
1374,Honda Accord 2.4 Elegance A/T,Chennai,2008,90000,0,1,First,10.2,2354.0,180.0,5.0,20.48,6.5,13.98
1375,Honda City 1.5 S AT,Bangalore,2016,36000,0,1,First,16.8,1497.0,118.0,5.0,20.48,9.45,11.030000000000001
1376,Maruti Baleno Alpha 1.3,Delhi,2016,46000,1,0,First,27.39,1248.0,74.0,5.0,20.48,6.75,13.73
1377,Honda City i DTec V,Coimbatore,2017,73003,1,0,First,26.0,1498.0,98.6,5.0,20.48,7.75,12.73
1378,Hyundai i20 Era 1.4 CRDi,Kochi,2014,46566,1,0,First,22.54,1396.0,88.76,5.0,20.48,4.4,16.08
